county,degree_rate_2010,,,
"Albany, NY        ",44.30%,,,
"Allegany, NY        ",22.40%,,,
"Bronx, NY        ",20.90%,,,
"Broome, NY        ",28.90%,,,
"Cattaraugus, NY        ",20.00%,,,
"Cayuga, NY        ",22.20%,,,
"Chautauqua, NY        ",23.30%,,,
"Chemung, NY        ",23.90%,,,
"Chenango, NY        ",18.30%,,,
"Clinton, NY        ",25.40%,,,
"Columbia, NY        ",34.90%,,,
"Cortland, NY        ",28.10%,,,
"Delaware, NY        ",23.00%,,,
"Dutchess, NY        ",37.70%,,,
"Erie, NY        ",35.90%,,,
"Essex, NY        ",30.50%,,,
"Franklin, NY        ",21.60%,,,
"Fulton, NY        ",18.20%,,,
"Genesee, NY        ",22.00%,,,
"Greene, NY        ",25.60%,,,
"Hamilton, NY        ",20.50%,,,
"Herkimer, NY        ",21.40%,,,
"Jefferson, NY        ",24.30%,,,
"Kings, NY        ",39.50%,,,
"Lewis, NY        ",18.80%,,,
"Livingston, NY        ",28.90%,,,
"Madison, NY        ",26.20%,,,
"Monroe, NY        ",40.00%,,,
"Montgomery, NY        ",19.20%,,,
"Nassau, NY        ",47.50%,,,
"New York, NY        ",38.36%,,,
"Niagara, NY        ",26.30%,,,
"Oneida, NY        ",26.20%,,,
"Onondaga, NY        ",36.50%,,,
"Ontario, NY        ",37.50%,,,
"Orange, NY        ",31.40%,,,
"Orleans, NY        ",17.20%,,,
"Oswego, NY        ",20.80%,,,
"Otsego, NY        ",33.30%,,,
"Putnam, NY        ",41.50%,,,
"Queens, NY        ",33.90%,,,
"Rensselaer, NY        ",34.30%,,,
"Richmond, NY        ",34.90%,,,
"Rockland, NY        ",42.00%,,,
"St. Lawrence, NY        ",23.60%,,,
"Saratoga, NY        ",42.70%,,,
"Schenectady, NY        ",33.30%,,,
"Schoharie, NY        ",23.20%,,,
"Schuyler, NY        ",24.30%,,,
"Seneca, NY        ",21.50%,,,
"Steuben, NY        ",25.50%,,,
"Suffolk, NY        ",38.30%,,,
"Sullivan, NY        ",27.00%,,,
"Tioga, NY        ",25.80%,,,
"Tompkins, NY        ",55.30%,,,
"Ulster, NY        ",34.50%,,,
"Warren, NY        ",33.10%,,,
"Washington, NY        ",20.60%,,,
"Wayne, NY        ",24.40%,,,
"Westchester, NY        ",50.60%,,,
"Wyoming, NY        ",18.10%,,,
"Yates, NY        ",24.50%,,,
