county,year,total_population,white_alone,black_alone,asian_alone,hispanic
"Albany County, NY",1990,292956,261973,25346,5104,5363
"Albany County, NY",1991,295530,262746,26638,5596,5735
"Albany County, NY",1992,296913,262488,27839,6017,6074
"Albany County, NY",1993,298592,262576,29014,6410,6457
"Albany County, NY",1994,300262,262659,30219,6771,6846
"Albany County, NY",1995,299725,260835,31182,7083,7239
"Albany County, NY",1996,297680,257683,31947,7411,7536
"Albany County, NY",1997,296187,255034,32741,7752,7903
"Albany County, NY",1998,295097,252766,33546,8086,8250
"Albany County, NY",1999,294692,251107,34437,8436,8679
"Albany County, NY",2000,295106,248242,33983,8516,9210
"Albany County, NY",2001,296232,248113,34518,8961,9782
"Albany County, NY",2002,298283,248534,35207,9582,10437
"Albany County, NY",2003,301085,249363,36073,10373,11029
"Albany County, NY",2004,302173,248733,36777,11051,11666
"Albany County, NY",2005,302791,247667,37498,11683,12346
"Albany County, NY",2006,303997,247052,38230,12358,12927
"Albany County, NY",2007,303858,245443,38690,13056,13425
"Albany County, NY",2008,303739,243897,39145,13621,13981
"Albany County, NY",2009,304733,242900,39822,14490,14634
"Albany County, NY",2010,304086,240817,40328,15012,15081
"Albany County, NY",2011,304596,240204,40648,15577,15522
"Albany County, NY",2012,305723,240090,41138,16081,16089
"Albany County, NY",2013,306589,239554,41457,16843,16612
"Albany County, NY",2014,307151,238458,41714,17985,17035
"Albany County, NY",2015,307433,237406,41918,18826,17400
"Albany County, NY",2016,307597,236059,42380,19717,17978
"Albany County, NY",2017,307717,234790,42837,20480,18422
"Albany County, NY",2018,306585,232963,43116,20678,18721
"Albany County, NY",2019,305506,231538,43096,20885,19102
"Allegany County, NY",1990,50522,49808,313,302,304
"Allegany County, NY",1991,50935,50167,360,308,332
"Allegany County, NY",1992,50967,50178,362,324,323
"Allegany County, NY",1993,50807,49970,390,335,356
"Allegany County, NY",1994,51012,50151,395,350,364
"Allegany County, NY",1995,51251,50345,423,360,385
"Allegany County, NY",1996,50869,49962,417,354,396
"Allegany County, NY",1997,50325,49420,409,353,388
"Allegany County, NY",1998,49991,49077,422,348,393
"Allegany County, NY",1999,49997,49049,437,355,409
"Allegany County, NY",2000,49819,48551,391,369,455
"Allegany County, NY",2001,50079,48720,450,392,490
"Allegany County, NY",2002,50014,48590,472,404,528
"Allegany County, NY",2003,50165,48724,480,404,550
"Allegany County, NY",2004,50311,48807,506,423,565
"Allegany County, NY",2005,49768,48254,519,410,591
"Allegany County, NY",2006,49359,47779,526,429,630
"Allegany County, NY",2007,49079,47537,525,404,618
"Allegany County, NY",2008,49177,47555,541,441,664
"Allegany County, NY",2009,48969,47319,557,450,679
"Allegany County, NY",2010,48971,47274,563,472,674
"Allegany County, NY",2011,48800,47026,597,483,707
"Allegany County, NY",2012,48210,46386,606,502,711
"Allegany County, NY",2013,47900,46037,595,526,719
"Allegany County, NY",2014,47652,45706,617,542,716
"Allegany County, NY",2015,47334,45329,646,558,737
"Allegany County, NY",2016,47044,44999,653,573,747
"Allegany County, NY",2017,46639,44648,637,567,746
"Allegany County, NY",2018,46332,44307,657,575,784
"Allegany County, NY",2019,46091,44048,664,577,784
"Bronx County, NY",1990,1207053,643328,517393,39307,526643
"Bronx County, NY",1991,1214835,641896,524321,40920,536917
"Bronx County, NY",1992,1223153,641192,531119,42378,547560
"Bronx County, NY",1993,1238907,645115,540613,43703,562450
"Bronx County, NY",1994,1250789,647092,548624,44637,574885
"Bronx County, NY",1995,1262064,649149,555767,45606,586999
"Bronx County, NY",1996,1272693,651457,561671,46856,597533
"Bronx County, NY",1997,1285683,655253,568540,47976,609601
"Bronx County, NY",1998,1300823,660416,575948,49181,621417
"Bronx County, NY",1999,1317895,667421,583356,50418,634011
"Bronx County, NY",2000,1334319,668003,574355,46421,649361
"Bronx County, NY",2001,1346555,667556,581109,48004,662129
"Bronx County, NY",2002,1358739,667765,587364,49360,675655
"Bronx County, NY",2003,1362373,663069,590554,50312,684242
"Bronx County, NY",2004,1358963,655882,589744,50651,689654
"Bronx County, NY",2005,1351736,644772,588917,51315,691806
"Bronx County, NY",2006,1348164,635455,589601,51985,696059
"Bronx County, NY",2007,1354056,631751,592913,53276,706327
"Bronx County, NY",2008,1363488,629560,597964,54722,717283
"Bronx County, NY",2009,1376261,629809,603682,56170,730878
"Bronx County, NY",2010,1387298,631473,608087,57046,744366
"Bronx County, NY",2011,1397335,635873,611735,57572,756532
"Bronx County, NY",2012,1411496,642956,616337,58495,771735
"Bronx County, NY",2013,1421928,645553,621988,59206,782767
"Bronx County, NY",2014,1430942,648006,626288,60176,792046
"Bronx County, NY",2015,1440005,651156,629440,61556,801075
"Bronx County, NY",2016,1444417,650918,631557,62696,807291
"Bronx County, NY",2017,1440625,647979,628926,63890,806910
"Bronx County, NY",2018,1432087,642959,624172,64442,805237
